fid;number
12886;1
12887;2
12888;3
13072;4
13073;5
13074;6
13075;7
13076;8
13260;9
13261;10
13262;11
13263;12
13264;13
13265;14
13446;15
13447;16
13448;17
13449;18
13450;19
13451;20
13452;21
13453;22
13633;23
13634;24
13635;25
13636;26
13637;27
13638;28
13639;29
13640;30
13641;31
13820;32
13821;33
13822;34
13823;35
13824;36
13825;37
13826;38
13827;39
13828;40
14008;41
14009;42
14010;43
14011;44
14012;45
14013;46
14014;47
14015;48
14016;49
14197;50
14198;51
14199;52
14200;53
14201;54
14202;55
14386;56
