fid;number
8027;1
8033;2
8215;3
8216;4
8217;5
8218;6
8219;7
8220;8
8221;9
8401;10
8402;11
8403;12
8404;13
8405;14
8406;15
8407;16
8590;17
8591;18
8592;19
8593;20
8594;21
8776;22
8777;23
8778;24
8779;25
8780;26
8781;27
8963;28
8964;29
8965;30
8966;31
8967;32
8968;33
9150;34
9151;35
9152;36
9153;37
9154;38
9155;39
9337;40
9338;41
9339;42
9340;43
9341;44
9342;45
9523;46
9524;47
9525;48
9526;49
9527;50
9528;51
9529;52
9530;53
9711;54
9712;55
9713;56
9714;57
9715;58
9716;59
9717;60
9718;61
9725;62
9899;63
9900;64
9901;65
9902;66
9903;67
9904;68
9905;69
9906;70
9907;71
9908;72
9909;73
9910;74
9911;75
9912;76
9913;77
9914;78
10086;79
10087;80
10088;81
10089;82
10090;83
10091;84
10092;85
10093;86
10094;87
10095;88
10096;89
10097;90
10098;91
10099;92
10100;93
10101;94
10102;95
10279;96
10280;97
10281;98
10282;99
10283;100
10284;101
10285;102
10286;103
10287;104
10288;105
10289;106
10468;107
10469;108
10470;109
10471;110
10472;111
10473;112
10474;113
10475;114
10476;115
10477;116
10656;117
10657;118
10658;119
10659;120
10660;121
10845;122
10846;123
10847;124
