fid;number
12155;1
12156;2
12157;3
12342;4
12343;5
12344;6
12345;7
12346;8
12347;9
12348;10
12349;11
12350;12
12351;13
12529;14
12530;15
12531;16
12532;17
12533;18
12534;19
12535;20
12536;21
12537;22
12538;23
12539;24
12540;25
12541;26
12716;27
12717;28
12718;29
12719;30
12720;31
12721;32
12722;33
12723;34
12724;35
12725;36
12726;37
12727;38
12728;39
12729;40
12903;41
12904;42
12905;43
12906;44
12907;45
12908;46
12909;47
12910;48
12911;49
12912;50
12913;51
12914;52
12915;53
12916;54
12917;55
12918;56
12919;57
13091;58
13092;59
13093;60
13094;61
13095;62
13096;63
13097;64
13098;65
13099;66
13100;67
13101;68
13102;69
13103;70
13104;71
13105;72
13106;73
13107;74
13278;75
13279;76
13280;77
13281;78
13282;79
13283;80
13284;81
13285;82
13286;83
13287;84
13288;85
13289;86
13290;87
13291;88
13292;89
13293;90
13294;91
13467;92
13468;93
13469;94
13470;95
13471;96
13472;97
13473;98
13474;99
13475;100
13476;101
13477;102
13478;103
13479;104
13480;105
13657;106
13658;107
13659;108
13660;109
13661;110
13662;111
13663;112
13664;113
13665;114
13847;115
13848;116
13849;117
13850;118
