fid;number
16282;1
16284;2
16285;3
16286;4
16287;5
16466;6
16467;7
16468;8
16469;9
16470;10
16471;11
16472;12
16473;13
16474;14
16654;15
16655;16
16656;17
16657;18
16658;19
16659;20
16660;21
16661;22
16662;23
16663;24
16667;25
16668;26
16669;27
16842;28
16843;29
16844;30
16845;31
16846;32
16847;33
16848;34
16849;35
16850;36
16851;37
16856;38
16857;39
17029;40
17030;41
17031;42
17032;43
17033;44
17034;45
17035;46
17036;47
17037;48
17038;49
17039;50
17040;51
17218;52
17219;53
17220;54
17221;55
17222;56
17223;57
17224;58
17225;59
17226;60
17227;61
17406;62
17407;63
17408;64
17409;65
17410;66
17411;67
17413;68
17414;69
17415;70
17594;71
17595;72
17596;73
17597;74
17598;75
17599;76
17600;77
17782;78
17783;79
17784;80
17785;81
17786;82
17789;83
17970;84
17971;85
17972;86
17973;87
17974;88
18159;89
18160;90
18161;91
18162;92
18163;93
18164;94
18165;95
18349;96
18350;97
18351;98
18538;99
18539;100
18540;101
