fid;number
18937;1
18938;2
18939;3
18940;4
19125;5
19126;6
19128;7
19130;8
19133;9
19134;10
19135;11
19136;12
19312;13
19313;14
19314;15
19315;16
19317;17
19318;18
19319;19
19320;20
19321;21
19322;22
19323;23
19324;24
19500;25
19501;26
19502;27
19503;28
19504;29
19505;30
19506;31
19507;32
19508;33
19509;34
19510;35
19511;36
19512;37
19689;38
19690;39
19691;40
19692;41
19693;42
19694;43
19695;44
19696;45
19697;46
19698;47
19699;48
19700;49
19877;50
19878;51
19879;52
19880;53
19881;54
19882;55
19883;56
19884;57
19885;58
19886;59
19887;60
20067;61
20068;62
20069;63
20070;64
20071;65
20072;66
20073;67
20074;68
20075;69
20254;70
20256;71
20257;72
20258;73
20259;74
20260;75
20261;76
20262;77
20263;78
20444;79
20445;80
20446;81
20447;82
20448;83
20449;84
20450;85
20451;86
20452;87
20636;88
20639;89
