fid;number
10286;1
10287;2
10472;3
10473;4
10474;5
10475;6
10476;7
10477;8
10659;9
10660;10
10661;11
10662;12
10663;13
10664;14
10665;15
10666;16
10667;17
10668;18
10846;19
10847;20
10848;21
10849;22
10850;23
10851;24
10852;25
10853;26
10854;27
10855;28
10856;29
10857;30
10858;31
11033;32
11034;33
11035;34
11036;35
11037;36
11038;37
11039;38
11040;39
11041;40
11042;41
11043;42
11044;43
11045;44
11046;45
11221;46
11222;47
11223;48
11224;49
11225;50
11226;51
11227;52
11228;53
11229;54
11230;55
11231;56
11232;57
11233;58
11234;59
11235;60
11410;61
11411;62
11412;63
11413;64
11414;65
11415;66
11416;67
11417;68
11418;69
11419;70
11420;71
11421;72
11422;73
11423;74
11598;75
11599;76
11600;77
11601;78
11602;79
11603;80
11604;81
11605;82
11606;83
11607;84
11608;85
11609;86
11610;87
11611;88
11787;89
11788;90
11789;91
11790;92
11791;93
11792;94
11793;95
11794;96
11795;97
11796;98
11797;99
11798;100
11799;101
11800;102
11975;103
11976;104
11979;105
11980;106
11981;107
11982;108
11983;109
11984;110
11985;111
11986;112
11987;113
11988;114
11989;115
12169;116
12170;117
12171;118
12172;119
12173;120
12174;121
12175;122
12176;123
12177;124
12359;125
12360;126
12361;127
12362;128
12363;129
12364;130
12365;131
12547;132
12548;133
12549;134
12550;135
12551;136
12552;137
