fid;number
16311;1
16312;2
16498;3
16499;4
16500;5
16501;6
16502;7
16685;8
16686;9
16687;10
16688;11
16689;12
16690;13
16691;14
16692;15
16873;16
16874;17
16875;18
16876;19
16877;20
16878;21
16879;22
17057;23
17058;24
17059;25
17060;26
17061;27
17062;28
17063;29
17064;30
17065;31
17066;32
17067;33
17245;34
17246;35
17247;36
17248;37
17249;38
17250;39
17251;40
17252;41
17253;42
17254;43
17255;44
17256;45
17433;46
17434;47
17435;48
17436;49
17437;50
17438;51
17439;52
17440;53
17441;54
17442;55
17443;56
17444;57
17445;58
17620;59
17621;60
17622;61
17623;62
17624;63
17625;64
17626;65
17627;66
17628;67
17629;68
17630;69
17631;70
17632;71
17633;72
17809;73
17810;74
17811;75
17812;76
17813;77
17814;78
17815;79
17816;80
17817;81
17818;82
17819;83
17820;84
17998;85
17999;86
18000;87
18001;88
18002;89
18003;90
18004;91
18005;92
18006;93
18007;94
18191;95
18192;96
