fid;number
13639;1
13640;2
13827;3
13828;4
14010;5
14011;6
14012;7
14014;8
14015;9
14016;10
14017;11
14198;12
14199;13
14200;14
14201;15
14202;16
14203;17
14204;18
14205;19
14386;20
14387;21
14388;22
14389;23
14390;24
14391;25
14392;26
14393;27
14394;28
14576;29
14577;30
14578;31
14579;32
14580;33
14581;34
14582;35
14583;36
14765;37
14766;38
14767;39
14768;40
14769;41
14770;42
14771;43
14953;44
14954;45
14955;46
14956;47
14957;48
14958;49
14959;50
15141;51
15142;52
15143;53
15144;54
15145;55
15146;56
15147;57
15330;58
15331;59
15332;60
15333;61
15334;62
15335;63
15518;64
15519;65
15520;66
15521;67
15522;68
15523;69
15710;70
