fid;number
12919;1
12920;2
12921;3
12922;4
12924;5
12927;6
12928;7
12929;8
13106;9
13107;10
13108;11
13109;12
13110;13
13111;14
13112;15
13113;16
13114;17
13115;18
13116;19
13117;20
13289;21
13290;22
13292;23
13293;24
13294;25
13295;26
13296;27
13297;28
13298;29
13299;30
13300;31
13301;32
13302;33
13303;34
13304;35
13476;36
13477;37
13478;38
13479;39
13480;40
13481;41
13482;42
13483;43
13484;44
13485;45
13486;46
13487;47
13488;48
13489;49
13490;50
13491;51
13492;52
13493;53
13662;54
13663;55
13664;56
13665;57
13666;58
13667;59
13668;60
13669;61
13670;62
13671;63
13672;64
13673;65
13674;66
13675;67
13676;68
13677;69
13678;70
13679;71
13680;72
13681;73
13849;74
13850;75
13851;76
13852;77
13853;78
13854;79
13855;80
13856;81
13857;82
13858;83
13859;84
13860;85
13861;86
13862;87
13863;88
13864;89
13865;90
13866;91
13867;92
13868;93
13869;94
13870;95
14037;96
14038;97
14039;98
14040;99
14041;100
14042;101
14043;102
14044;103
14045;104
14046;105
14047;106
14048;107
14049;108
14050;109
14051;110
14052;111
14053;112
14054;113
14055;114
14056;115
14057;116
14058;117
14059;118
14224;119
14225;120
14226;121
14227;122
14228;123
14229;124
14230;125
14231;126
14232;127
14233;128
14234;129
14235;130
14236;131
14237;132
14238;133
14239;134
14240;135
14241;136
14242;137
14243;138
14244;139
14245;140
14246;141
14247;142
14412;143
14413;144
14414;145
14415;146
14416;147
14417;148
14418;149
14419;150
14420;151
14421;152
14422;153
14423;154
14424;155
14425;156
14426;157
14427;158
14428;159
14429;160
14430;161
14431;162
14432;163
14433;164
14434;165
14600;166
14601;167
14602;168
14603;169
14604;170
14605;171
14606;172
14607;173
14608;174
14609;175
14610;176
14611;177
14612;178
14613;179
14614;180
14615;181
14616;182
14617;183
14618;184
14619;185
14620;186
14621;187
14788;188
14789;189
14790;190
14791;191
14792;192
14793;193
14794;194
14795;195
14796;196
14797;197
14798;198
14799;199
14800;200
14801;201
14802;202
14803;203
14804;204
14805;205
14806;206
14807;207
14808;208
14809;209
14975;210
14976;211
14977;212
14978;213
14979;214
14980;215
14981;216
14982;217
14983;218
14984;219
14985;220
14986;221
14987;222
14988;223
14989;224
14990;225
14991;226
14992;227
14993;228
14994;229
14995;230
14996;231
14997;232
15163;233
15164;234
15165;235
15166;236
15167;237
15168;238
15169;239
15170;240
15171;241
15172;242
15173;243
15174;244
15175;245
15176;246
15177;247
15178;248
15179;249
15180;250
15181;251
15182;252
15183;253
15184;254
15185;255
15351;256
15352;257
15353;258
15354;259
15355;260
15356;261
15357;262
15358;263
15359;264
15360;265
15361;266
15362;267
15363;268
15364;269
15365;270
15366;271
15367;272
15368;273
15369;274
15370;275
15371;276
15372;277
15539;278
15540;279
15541;280
15542;281
15543;282
15544;283
15545;284
15546;285
15547;286
15548;287
15549;288
15550;289
15551;290
15552;291
15553;292
15554;293
15555;294
15556;295
15557;296
15558;297
15559;298
15560;299
15561;300
15727;301
15728;302
15729;303
15730;304
15731;305
15732;306
15733;307
15734;308
15735;309
15736;310
15737;311
15738;312
15739;313
15740;314
15741;315
15742;316
15743;317
15744;318
15745;319
15746;320
15747;321
15748;322
15749;323
15915;324
15916;325
15917;326
15918;327
15919;328
15920;329
15921;330
15922;331
15923;332
15924;333
15925;334
15926;335
15927;336
15928;337
15929;338
15930;339
15931;340
15932;341
15933;342
15934;343
15935;344
15936;345
16104;346
16105;347
16106;348
16107;349
16108;350
16109;351
16110;352
16111;353
16112;354
16113;355
16114;356
16115;357
16116;358
16117;359
16118;360
16119;361
16120;362
16121;363
16122;364
16123;365
16124;366
16295;367
16296;368
16297;369
16298;370
16299;371
16300;372
16301;373
16302;374
16303;375
16304;376
16305;377
16306;378
16307;379
16308;380
16309;381
16310;382
16311;383
16484;384
16485;385
16486;386
16487;387
16488;388
16489;389
16490;390
16491;391
16492;392
16493;393
16494;394
16495;395
16496;396
16497;397
16498;398
16499;399
16673;400
16674;401
16675;402
16676;403
16684;404
16685;405
16686;406
