fid;number
11788;1
11789;2
11790;3
11791;4
11792;5
11975;6
11976;7
11977;8
11978;9
11979;10
11980;11
11981;12
12162;13
12163;14
12164;15
12165;16
12166;17
12167;18
12168;19
12169;20
12170;21
12171;22
12351;23
12352;24
12353;25
12354;26
12355;27
12356;28
12357;29
12358;30
12359;31
12362;32
12363;33
12539;34
12540;35
12541;36
12542;37
12543;38
12544;39
12545;40
12546;41
12547;42
12548;43
12549;44
12550;45
12551;46
12729;47
12730;48
12731;49
12732;50
12733;51
12734;52
12735;53
12736;54
12737;55
12738;56
12739;57
12740;58
12917;59
12918;60
12919;61
12920;62
12921;63
12922;64
12923;65
12924;66
12925;67
12926;68
12927;69
12928;70
13107;71
13108;72
13109;73
13110;74
13111;75
13112;76
13113;77
13114;78
13115;79
